Open,Close,High,Low,Volume,Date
84.89,85.25,85.81,84.47,,06/26/24
86.06,85.01,86.23,84.74,,06/25/24
84.99,86.01,86.16,84.71,,06/24/24
85.66,85.24,86.24,84.84,,06/21/24
85.19,85.71,85.96,84.95,,06/20/24
85.4,85.07,85.84,84.9,,06/19/24
84.31,85.33,85.49,83.67,,06/18/24
82.61,84.25,84.55,82.1,,06/17/24
82.05,82.62,83.39,81.92,,06/14/24
82.42,82.75,83.05,81.8,,06/13/24
82.08,82.6,83.34,81.96,,06/12/24
81.97,81.92,82.36,81.19,,06/11/24
79.38,81.63,82.17,79.34,,06/10/24
80.05,79.62,80.38,79.32,,06/07/24
78.7,79.87,80.08,78.38,,06/06/24
77.29,78.41,78.66,77.18,,06/05/24
78.14,77.52,78.22,76.76,,06/04/24
81.15,78.36,81.65,78.09,,06/03/24
81.74,81.11,82.18,81.17,,05/31/24
83.51,81.86,83.77,81.8,,05/30/24
84.61,83.6,85.02,83.29,,05/29/24
83,84.22,84.62,83,,05/28/24
82.2,83.1,83.2,82.08,,05/27/24
81.4,82.12,82.46,80.65,,05/24/24
81.59,81.36,82.97,80.93,,05/23/24
82.58,81.9,82.63,81.57,,05/22/24
83.75,82.88,83.76,82.04,,05/21/24
83.98,83.71,84.49,83.11,,05/20/24
83.43,83.98,84.04,83.08,,05/17/24
83.03,83.27,83.78,82.31,,05/16/24
82.76,82.75,83.07,81.05,,05/15/24
83.41,82.38,83.62,82.1,,05/14/24
82.78,83.36,83.84,82.26,,05/13/24
84.21,82.79,84.53,82.7,,05/10/24
83.79,83.88,84.33,83.45,,05/09/24
83.02,83.58,83.82,81.71,,05/08/24
83.72,83.16,83.88,82.41,,05/07/24
82.99,83.33,83.83,82.77,,05/06/24
83.9,82.96,84.39,82.78,,05/03/24
83.59,83.67,84.44,83.05,,05/02/24
85.8,83.44,85.89,83.29,,05/01/24
88.41,87.86,88.79,87.46,,04/30/24
89.22,88.4,89.29,88.11,,04/29/24
89.23,89.5,89.83,88.78,,04/26/24
87.89,89.01,89.31,87.31,,04/25/24
88.45,88.02,88.86,87.65,,04/24/24
87.2,88.42,88.51,86.03,,04/23/24
87.07,87,87.26,85.79,,04/22/24
87.04,87.29,90.75,86.19,,04/19/24
87.42,87.11,87.8,86.09,,04/18/24
90.11,87.29,90.17,87.13,,04/17/24
90.43,90.02,90.84,89.41,,04/16/24
90.95,90.1,91.05,88.73,,04/15/24
90.13,90.45,92.18,90.01,,04/12/24
90.52,89.74,90.92,89.38,,04/11/24
89.55,90.48,90.71,88.83,,04/10/24
90.63,89.42,90.94,89.25,,04/09/24
90.09,90.38,91.1,88.78,,04/08/24
91.21,91.17,91.91,90.57,,04/05/24
89.48,90.65,91.3,88.72,,04/04/24
89.22,89.35,89.99,88.67,,04/03/24
87.62,88.92,89.32,87.62,,04/02/24
86.98,87.42,87.98,86.4,,04/01/24
86.41,87,87.52,86.3,,03/28/24
85.86,86.09,86.39,85.17,,03/27/24
86.81,86.25,87.06,85.8,,03/26/24
85.5,86.75,87.17,85.4,,03/25/24
85.66,85.43,86.15,85.11,,03/22/24
86.24,85.78,86.64,85.06,,03/21/24
87.15,85.95,87.35,85.59,,03/20/24
86.94,87.38,87.7,86.48,,03/19/24
85.32,86.89,87.18,85.25,,03/18/24
85.15,85.34,85.55,84.6,,03/15/24
84.04,85.42,85.69,83.98,,03/14/24
82.45,84.03,84.24,81.96,,03/13/24
82.45,81.92,83.01,81.69,,03/12/24
0,82.21,82.75,81.08,,03/11/24
83.18,82.08,83.84,81.71,,03/08/24
82.92,82.96,83.53,82.07,,03/07/24
82.01,82.96,84.05,81.85,,03/06/24
82.74,82.04,83.14,81.72,,03/05/24
83.5,82.8,84.08,82.57,,03/04/24
82.07,83.55,84.34,81.81,,03/01/24
83.23,83.62,83.9,83.05,,02/29/24
83.3,83.68,84.31,82.6,,02/28/24
82.64,83.65,83.7,82.1,,02/27/24
81.41,82.53,83.07,81,,02/26/24
83.39,81.62,83.48,81.43,,02/23/24
83.2,83.67,83.96,82.33,,02/22/24
82.5,83.03,83.17,81.66,,02/21/24
83.24,82.34,83.63,82.05,,02/20/24
83.28,83.56,83.6,82.55,,02/19/24
82.79,83.47,83.66,81.89,,02/16/24
81.42,82.86,83.25,80.72,,02/15/24
82.6,81.6,83.6,81.39,,02/14/24
82,82.77,83.24,81.96,,02/13/24
81.94,82,82.19,80.77,,02/12/24
81.72,82.19,82.45,81.21,,02/09/24
79.3,81.63,81.9,79.03,,02/08/24
78.7,79.21,79.5,78.49,,02/07/24
77.95,78.59,79.08,77.63,,02/06/24
77.9,77.99,78.33,76.62,,02/05/24
79.15,77.33,79.44,76.85,,02/02/24
80.57,78.7,81.55,78.57,,02/01/24
82.94,81.71,82.94,81.59,,01/31/24
